DE0920;Via Dessý (fronte Comune);40
DG1132;via Duca di Genova;15
DM0500;via Don Minzoni (ang. via Nazionale);19,QSB,QSA,QS,31
DM0501;via Don Minzoni (ang. via delle Serre civ 7);19,QSB,QSA,QS,30
DM0502;via Don Minzoni (ang. via Piria);19,18,QSB,QSA,QS,31
DM0504;via Don Minzoni (Cimitero);19,QSB,QSA,QS,31
DM0505;via Don Minzoni (ang. via Guspini civ. 43);19,QSB,QSA,QS,30
DM0743;via Decio Mure (Capolinea Ist. Alberghiero);29S,8H
DM0756;via Decio Mure (pressi rotatoria);29S
DM1128;via delle Mimose;15
DO0004;via dei Donoratico (ang. via Capula);16,13,3,P
DO0005;via Dei Donoratico (ang. via Ciusa);16,3,P
DO0225;via Dei Donoratico (fronte parco giochi);16,3,P
DO0226;via Dei Donoratico (lato parco giochi);16,13,3,P
DP0288;via della Pineta (angolo via Milano);6,3
DP0289;via della Pineta (lato distributore);6,3
DP0290;via della Pineta (ang. via dei Colombi);6,3
DP0291;via della Pineta (fronte via dei Colombi);6,3
DP0292;via della Pineta;6,3
DP0293;via della Pineta (ang. via Dexart);6,3
DP0294;via della Pineta (fronte via Venezia);6,5,3
DP0295;via della Pineta (ang. via Venezia);6,5,3
DP0296;via della Pineta (fronte Chiesa);6,5,3
DP0297;via della Pineta (Chiesa);6,5,3
DP0989;via De Petris (fronte Campo Rosas);40
DP1102;via De Petris (civ. N. 9);41
DQ0863;p.zza D'Esquivel;
DQ1158;Via D'Aquino;15
DQ1159;Via D'Aquino (fronte caserma Carabinieri);15
DS0318;Via del Sole (fronte via del Sestante);3
DS0319;Via del Sole (ang. via del Sestante);3
DS0336;Quartiere del Sole (Capolinea);3
DS0959;via delle Serre;18
DS0960;via delle Serre ;18
DT0884;via De Martis;20
DT0896;via De Martis ;20
DV0414;via L. da Vinci (fronte Hotel Califfo);PF,2L,PFS
DV0415;via L.da Vinci (Hotel Califfo);PF,2L
DV0416;via L. da Vinci (fronte Hotel Setar);PF,2L,PFS
DV0417;via L. da Vinci (Hotel Setar);PF,2L
DV0419;via L. da Vinci (fronte via Rio Solanas);PF,2L
DV0420;via L. da Vinci (pressi distributore AGIP);PF,2L,PFS
DV0421;via L. da Vinci (lato Su Meriagu);PF,2L
DV0422;via L. da Vinci;PF,2L,PFS
DV0423;via L. da Vinci (ang. via Taormina);PF,2L
DV0424;via L. da Vinci (fronte Scuole);PF,2L,PFS
DV0425;via L. da Vinci (Scuole);PF,2L
DV0643;via Leonardo da Vinci;17
DV0728;via L. da Vinci (Loc. Sa Tiacca);PF,2L,PFS
DV0729;via L. da Vinci (Loc. Sa Tiacca) ;PF,2L
DV0754;via L. da Vinci (ang via Is Padrinas);PF,2L,PFS
DV0940;via L. da Vinci (ang. via Rio Solanas);PF,2L,PFS
DZ0985;via D'Azeglio (civ 45);
DZ1106;via D'Azeglio (via Mercantini);
EC0553;Via S'Ecca S' Arrideli (fronte ulivetto);1Q,2L
EC0712;via S'Ecca s'Arrideli (civ 32);1Q,2L
EC0713;via S'Ecca s'Arrideli (150 m incrocio);1Q,2L
EC0714;via S'Ecca s'Arrideli (fronte civ 9);1Q,2L
EC0715;via S'Ecca s'Arrideli (lato vigna);1Q,2L
EC0716;via S'Ecca s'Arrideli (civ. N. 31);1Q,2L
EC0717;via S'Ecca s'Arrideli (ang. via Van Dick);1Q,2L
EC0718;S'Ecca S'Arrideli (ang. via Van Dick);1Q,2L
EC0719;via S'Ecca s'Arrideli (fronte via Van Dick);1Q,2L
EC0853;Via S' Ecca S' Arrideli (civ. 9);1Q,2L
EL0117;viale Elmas (fronte civ. N.123);9A,9
EL0124;viale Elmas (fronte civ. N.118);9A,9
EL0125;viale Elmas (fronte civ. N.73);9A,9
EL0127;viale Elmas (civ. N. 168);9A,9
EL0128;viale Elmas (fronte civ. N.176);9A,9
EL0129;viale Elmas (ang. via dell'Autonomia);9A,9
EL0130;viale Elmas (Cavalcavia ferroviario);9A,9
EL0360;viale Elmas (Mercato);9A,9
EL0361;viale Elmas (fronte civ. N.131);9A,9
EL0362;viale Elmas;9A,9
EL0363;viale Elmas (ang.via dell'Industria);9A,9
EL0577;viale Elmas (Distributore Agip SS 130);19S,19,9A,9
EL0578;viale Elmas (fronte Distributore Agip SS 130);19S,19,9A,9
EL0579;viale Elmas (cavalcavia);19S,19,9
EL0580;viale Elmas (ingresso Aereoporto);19S,19,9
EL0581;viale Elmas (Ist. Agrario);19S,19,9
EL0582;viale Elmas (ang. via Peruca);19S,19,9
EL0680;via Emilio Lussu;17
EL0681;via E. Lussu (civ. N. 67);17
EL0691;via E. Lussu (Caserma Carabinieri);17
EM0104;via Emilia;20,3,8
EN0303;via Einstein (civ. N. 2);
EN0304;via Einstein (ang. via Fermi);
EN0305;via Einstein (civ. N.26);
EN0306;via Einstein (civ. N. 23);
ET1124;via E. Toti;15
EU0913;Corso Europa Assemini;19S,19,9
EU1163;Corso Europa Assemini ;19S,19,9A,9
EU1164;Corso Europa (lato case popolari);19S,19,9A,9
EU1179;Corso Europa Assemini;19S,19,9
FA0314;via Favonio (ang. via Noto);3
FA0320;via Favonio (fronte via Garbino);3
FA1109;via Fadda (fronte via S.Francesco);
FA1114;via Fadda (ang. Via Angioni);
FA2013;Via delle Fosse Ardeatine;
FA2014;Via delle Fosse Ardeatine ;
FA2015;Via delle Fosse Ardeatine Fronte Giardini ex Vetre;
FB0452;via F.lli Bandiera;1Q,19,QSB,QSA
FB0453;via F. Bandiera (ang via Pais);1Q,19,QSB,QSA
FE0223;via XXVIII Febbraio (fronte Ass.to Lavoro);29S,29,16,3,P
FE0224;via XXVIII Febbraio (lato Ass.to Lavoro);29S,29,16,13,3,P
FG0214;via San Fulgenzio (ang. II Traversa);29,8
FG0737;via San Fulgenzio (lato Scuola);29,8H,8,M
FI0443;via Fiume (civ. N. 313);PF,PFS
FI0445;via Fiume (ang. via Umbria civ 167);19,QSB,QSA,40
FI0446;via Fiume (ang via S.Benedetto);19,QSB,QSA,41
FI0447;via Fiume (civ 121);19,QSB,QSA
FI0448;via Fiume (ang via E.Fieramosca);19,QSB,QSA
FI0449;via Fiume (fronte nuovo rione);PF
FI0941;via Fiume (fronte civico 313 ingresso Quartu);PF
FI0942;via Fiume (ang via Della Chiesa);PF,PFS
FL0413;Flumini;PF,PFS
FL0494;Flumini (Circonvallazione);1Q,PF,2L
FL0516;Flumini (pressi cantoniera);1Q,PF,2L
FL0558;via dell'Autonomia Sarda (fronte via Molinu Coccu);1Q,PF,2L,PFS
FL0633;via dell'Autonomia Sarda (ang. via Molinu Coccu);1Q,PF
FM0986;via Fieramosca (ang. via Campanella);40
FM0987;via Fieramosca;40
FN0123;via del Fangario;9A,9
FR0307;via Fracastoro;
FU0710;Sa Funtanedda (fronte civ. N. 13);1Q,2L
FU0711;sa Funtanedda (ang. via Carbia);1Q,2L
GA0496;via Gallus (Edicola);19,QSB,QSA,QS,31
GA0497;via Gallus ( fronte Torre);19,17,QSB,QSA,QS,30
GB0054;via Garibaldi;10
GB0055;via Garibaldi (ang.via E. d'Arborea);10
